1,4,162132
2,2,450558
3,4,544955
4,4,124420
5,4,754655
6,5,193202
7,2,597093
8,4,234058
9,3,133510
10,2,770173
11,1,867654
12,5,076676
13,1,669245
14,3,432496
15,4,477238
16,4,664056
17,3,317227
18,1,562222
19,5,859219
20,1,819605
21,1,239937
22,1,913622
23,4,158071
24,2,002989
25,3,463637
26,3,192856
27,5,412008
28,5,080839
29,4,355192
30,3,487215
31,1,771598
32,1,579176
33,4,596219
34,4,977686
35,1,542454
36,4,735757
37,3,453877
38,3,307836
39,1,199137
40,2,631086
41,1,742714
42,4,974231
43,4,589839
44,3,668818
45,2,318754
46,4,010963
47,4,941327
48,1,779363
49,4,305248
50,3,592111
51,2,510012
52,2,597227
53,5,649638
54,5,627054
55,1,477879
56,1,993174
57,2,272286
58,5,939327
59,2,159056
60,5,216510
61,3,575862
62,4,014073
63,4,335226
64,5,676003
65,4,732375
66,4,990834
67,3,807531
68,5,191075
69,4,775530
70,1,248672
71,1,159486
72,2,114687
73,1,501026
74,2,256789
75,3,658340
76,1,890966
77,5,436305
78,2,515884
79,5,408379
80,1,641358
81,1,971511
82,4,935053
83,3,136128
84,4,580148
85,5,338407
86,5,950320
87,4,740942
88,2,329695
89,4,585449
90,5,235858
91,3,586054
92,4,487381
93,4,180249
94,1,807121
95,5,841331
96,2,330481
97,1,783688
98,4,707437
99,3,202997
100,4,419399
101,4,068561
102,3,030569
103,4,786276
104,2,689922
105,1,180506
106,5,307695
107,3,192750
108,3,605195
109,3,164115
110,5,542980
111,1,393588
112,3,802007
113,3,248855
114,2,699286
115,2,749063
116,2,641770
117,4,269117
118,1,929977
119,4,088257
120,2,218556
121,5,444520
122,1,016841
123,3,938423
124,5,311244
125,5,845390
126,5,559830
127,3,905658
128,3,923864
129,1,619003
130,3,737747
131,5,852265
132,1,338822
133,1,107523
134,1,047022
135,2,400876
136,5,587411
137,1,873784
138,1,393066
139,1,201688
140,4,469185
141,4,895352
142,2,852960
143,5,459979
144,5,849681
145,2,221111
146,1,643570
147,4,838380
148,1,826930
149,5,378296
150,3,365343
151,4,256502
152,3,905531
153,1,977038
154,3,826393
155,4,739586
156,1,071712
157,5,243430
158,2,357856
159,3,846581
160,5,440286
161,3,055838
162,2,802493
163,1,711067
164,1,972349
165,1,718273
166,4,342103
167,3,475016
168,2,970731
169,3,924748
170,2,965178
171,2,844578
172,1,092138
173,3,803757
174,2,876021
175,5,765740
176,3,858952
177,3,105948
178,3,004687
179,2,947176
180,3,836838
181,3,550104
182,1,993750
183,4,321423
184,3,646362
185,4,577418
186,5,616814
187,5,200473
188,5,502522
189,4,466557
190,2,850365
191,4,296430
192,2,034210
193,2,491905
194,5,461102
195,4,531307
196,4,113393
197,4,966616
198,2,437803
199,4,103633
200,5,146362
201,1,472675
202,2,419093
203,3,453064
204,5,756397
205,1,472377
206,3,489075
207,3,211988
208,1,879829
209,4,998750
210,3,040662
211,1,960554
212,2,111915
213,1,156049
214,1,718766
215,1,849572
216,5,326117
217,5,817509
218,5,263338
219,5,425483
220,4,444739
221,5,131347
222,5,058627
223,5,279895
224,4,938763
225,3,245914
226,1,502275
227,5,068516
228,4,127317
229,1,441510
230,2,817209
231,3,660621
232,1,868476
233,4,378868
234,4,658373
235,4,817148
236,4,444431
237,5,793969
238,5,988942
239,4,277326
240,4,446648
241,2,106716
242,1,323164
243,2,084982
244,5,033337
245,1,179273
246,3,176069
247,2,490590
248,2,024992
249,1,090785
250,3,437950
251,4,346196
252,4,002228
253,4,484010
254,5,045083
255,4,941271
256,5,584766
257,3,566239
258,1,265256
259,3,707288
260,1,235108
261,1,844061
262,3,564583
263,5,162265
264,2,063053
265,5,802320
266,4,015192
267,2,832963
268,2,736358
269,3,443545
270,4,593142
271,3,887155
272,2,178408
273,1,415223
274,5,574627
275,1,038875
276,5,168238
277,4,515680
278,2,634676
279,1,728822
280,1,904181
281,2,932867
282,3,034844
283,3,653503
284,2,289027
285,1,539742
286,2,824756
287,5,614749
288,5,112703
289,3,585935
290,5,200115
291,4,149309
292,4,971630
293,3,650321
294,1,746186
295,3,751272
296,1,667975
297,5,444163
298,3,960211
299,2,282945
300,1,455490
301,4,748559
302,4,639927
303,4,639566
304,5,234931
305,2,331316
306,4,545380
307,1,987645
308,5,920388
309,4,867549
310,3,056204
311,4,382268
312,2,861949
313,5,726493
314,2,060727
315,2,537530
316,3,331818
317,3,827917
318,5,401384
319,3,201327
320,5,766487
321,5,686709
322,2,119392
323,4,604270
324,2,485216
325,3,011391
326,2,502733
327,3,221540
328,3,644513
329,3,642752
330,4,125905
